Code,"Long Name","Income Group","Region","Lending category","Other groups","Currency Unit","Latest population census","Latest household survey","Special Notes","National accounts base year","National accounts reference year","System of National Accounts","SNA price valuation","Alternative conversion factor","PPP survey year","Balance of Payments Manual in use","External debt Reporting status","System of trade","Government Accounting concept","IMF data dissemination standard","Source of most recent Income and expenditure data","Vital registration complete","Latest agricultural census","Latest industrial data","Latest trade data","Latest water withdrawal data","2-alpha code","WB-2 code","Table Name","Short Name"
SLV,"Republic of El Salvador","Lower middle income","Latin America & Caribbean","IBRD","","U.S. dollar","2007","Multiple Indicator Cluster Survey (MICS), 2014","","1990","","Country uses the 1968 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","Integrated household survey (IHS), 2012","Yes","2007/2008","","2013","2005","SV","SV","El Salvador","El Salvador"
GNQ,"Republic of Equatorial Guinea","High income: nonOECD","Sub-Saharan Africa","IBRD","","CFA franc","2002","Demographic and Health Survey (DHS), 2011","National accounts have been revised from 1980 onward based on IMF data and official government statistics; the new base year is 2006.","2006","","Country uses the 1968 System of National Accounts methodology.","Value added at basic prices (VAB)","1965–84","2011","","","General trade system","Budgetary central government","","Priority survey (PS), 2006","","","","","2000","GQ","GQ","Equatorial Guinea","Equatorial Guinea"
ERI,"State of Eritrea","Low income","Sub-Saharan Africa","IDA","HIPC","Eritrean nakfa","1984","Demographic and Health Survey (DHS), 2002","April 2013 database update: Based on IMF data, national accounts data were revised for 2000 onward; the base year changed to 2000.","2000","","Country uses the 1968 System of National Accounts methodology.","Value added at basic prices (VAB)","","","IMF Balance of Payments Manual, 6th edition.","Estimate","","","","Priority survey (PS), 1993","","","2011","2003","2004","ER","ER","Eritrea","Eritrea"
EST,"Republic of Estonia","High income: OECD","Europe & Central Asia","","Euro area","Euro","2012","World Health Survey (WHS), 2003","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2011: 1 euro = 15.6466 Estonian kroon. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.","Original chained constant price data are rescaled.","2005","Country uses the 2008 System of National Accounts methodology.","Value added at basic prices (VAB)","1987–95","Rolling","IMF Balance of Payments Manual, 6th edition.","","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","Integrated household survey (IHS), 2011","Yes","2010","2011","2013","2007","EE","EE","Estonia","Estonia"
ETH,"Federal Democratic Republic of Ethiopia","Low income","Sub-Saharan Africa","IDA","HIPC","Ethiopian birr","2007","HIV/Maternal and Child Health (HIV/MCH) Service Provision Assessments (SPA), 2014","Fiscal year end: July 7; reporting period for national accounts data: FY. Based on IMF data, national accounts data have been revised for 2000 onward; the new base year is 2010/11.","2010/11","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Budgetary central government","General Data Dissemination System (GDDS)","Expenditure survey/budget survey (ES/BS), 2010/11","","","2009","2013","2002","ET","ET","Ethiopia","Ethiopia"
FRO,"Faeroe Islands","High income: nonOECD","Europe & Central Asia","","","Danish krone","2011","","","","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","","IMF Balance of Payments Manual, 6th edition.","","General trade system","","","","Yes","","","2009","","FO","FO","Faeroe Islands","Faeroe Islands"
FJI,"Republic of Fiji","Upper middle income","East Asia & Pacific","IBRD","","Fijian dollar","2007","","Based on data from the Bureau of Statistics, national accounts data on the expenditure side have been revised from 2005 onward; the new base year is 2005.","2005","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Budgetary central government","General Data Dissemination System (GDDS)","Expenditure survey/budget survey (ES/BS), 2008/09","Yes","2009","2010","2013","2000","FJ","FJ","Fiji","Fiji"
FIN,"Republic of Finland","High income: OECD","Europe & Central Asia","","Euro area","Euro","2010","","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 5.94573 Finnish markka. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.","Original chained constant price data are rescaled.","2005","Country uses the 2008 System of National Accounts methodology.","Value added at basic prices (VAB)","","Rolling","IMF Balance of Payments Manual, 6th edition.","","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","Integrated household survey (IHS), 2010","Yes","2010","2010","2013","2005","FI","FI","Finland","Finland"
FRA,"French Republic","High income: OECD","Europe & Central Asia","","Euro area","Euro","2006. Rolling census based on continuous sample survey.","","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 6.55957 French franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.","Original chained constant price data are rescaled.","2005","Country uses the 2008 System of National Accounts methodology.","Value added at basic prices (VAB)","","Rolling","IMF Balance of Payments Manual, 6th edition.","","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","Expenditure survey/budget survey (ES/BS), 2005","Yes","2010","2010","2013","2007","FR","FR","France","France"
PYF,"French Polynesia","High income: nonOECD","East Asia & Pacific","","","CFP franc","2007","","","1990","","Country uses the 1993 System of National Accounts methodology.","","","2011 (household consumption only).","","","Special trade system","","","","Yes","","","2013","","PF","PF","French Polynesia","French Polynesia"
GAB,"Gabonese Republic","Upper middle income","Sub-Saharan Africa","IBRD","","CFA franc","2013","Demographic and Health Survey (DHS), 2012","Based on IMF data and official government statistics; the new base year is 2001.","2001","","Country uses the 1993 System of National Accounts methodology.","Value added at producer prices (VAP)","1993","2011","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","","General Data Dissemination System (GDDS)","Core Welfare Indicator Questionnaire Survey (CWIQ)/Integrated household survey (IHS), 2005","","","","2009","2005","GA","GA","Gabon","Gabon"
GMB,"Republic of The Gambia","Low income","Sub-Saharan Africa","IDA","HIPC","Gambian dalasi","2013","Demographic and Health Survey (DHS), 2013","Fiscal year end: June 30; reporting period for national accounts data: CY. April 2013 database update: Based on official government statistics, national accounts data were revised for 2004 onward; the base year changed to 2004.","2004","","Country uses the 1993 System of National Accounts methodology.","Value added at producer prices (VAP)","","2011","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Budgetary central government","General Data Dissemination System (GDDS)","Integrated household survey (IHS), 2010","","","2004","2013","2000","GM","GM","Gambia, The","The Gambia"
GEO,"Georgia","Lower middle income","Europe & Central Asia","IBRD","","Georgian lari","2002","Multiple Indicator Cluster Survey (MICS), 2005; Reproductive Health Survey (RHS), 2005","","Original chained constant price data are rescaled.","1996","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","1990–95","2011","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","Integrated household survey (IHS), 2012","Yes","","2011","2013","2008","GE","GE","Georgia","Georgia"
DEU,"Federal Republic of Germany","High income: OECD","Europe & Central Asia","","Euro area","Euro","2011","","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 1.95583 German mark. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.","Original chained constant price data are rescaled.","2005","Country uses the 2008 System of National Accounts methodology.","Value added at basic prices (VAB)","","Rolling","IMF Balance of Payments Manual, 6th edition.","","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","Integrated household survey (IHS), 2010","Yes","2010","2010","2013","2007","DE","DE","Germany","Germany"
GHA,"Republic of Ghana","Lower middle income","Sub-Saharan Africa","IDA","HIPC","New Ghanaian cedi","2010","Demographic and Health Survey (DHS), 2014","In 2010, the Ghana Statistical Service revised the base year for Ghana's national accounts series from 1993 to 2006. The new GDP data were about 60 percent higher than previously reported and incorporated improved data sources and methodology.","2006","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","1973–87","2011","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Budgetary central government","General Data Dissemination System (GDDS)","Living Standards Measurement Study Survey (LSMS), 2012","","2013/ 2014","2003","2013","2000","GH","GH","Ghana","Ghana"
GRC,"Hellenic Republic","High income: OECD","Europe & Central Asia","","Euro area","Euro","2011","","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 340.75 Greek drachma. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.","Original chained constant price data are rescaled.","2005","Country uses the 2008 System of National Accounts methodology.","Value added at basic prices (VAB)","","Rolling","IMF Balance of Payments Manual, 6th edition.","","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","Integrated household survey (IHS), 2010","Yes","2009","2007","2013","2007","GR","GR","Greece","Greece"
GRL,"Greenland","High income: nonOECD","Europe & Central Asia","","","Danish krone","2010","","","1990","","Country uses the 1993 System of National Accounts methodology.","","","","","","General trade system","","","","Yes","","","2013","","GL","GL","Greenland","Greenland"
GRD,"Grenada","Upper middle income","Latin America & Caribbean","Blend","","East Caribbean dollar","2011","Reproductive Health Survey (RHS), 1985","April 2012 database update: Based on official government statistics, national accounts data were revised for 2000 onward; the base year changed to 2006.","2006","","Country uses the 1968 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Budgetary central government","General Data Dissemination System (GDDS)","","Yes","2012","","2009","2005","GD","GD","Grenada","Grenada"
GUM,"Guam","High income: nonOECD","East Asia & Pacific","","","U.S. dollar","2010","","","","","Country uses the 1993 System of National Accounts methodology.","","","2011 (household consumption only).","","","General trade system","","","","Yes","2007","","","","GU","GU","Guam","Guam"
GTM,"Republic of Guatemala","Lower middle income","Latin America & Caribbean","IBRD","","Guatemalan quetzal","2002","Reproductive Health Survey (RHS), 2008/09","","2001","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Budgetary central government","General Data Dissemination System (GDDS)","Living Standards Measurement Study Survey (LSMS), 2011","Yes","2013","","2013","2006","GT","GT","Guatemala","Guatemala"
GIN,"Republic of Guinea","Low income","Sub-Saharan Africa","IDA","HIPC","Guinean franc","2014","Demographic and Health Survey (DHS), 2012","","2003","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","Estimate","Special trade system","Budgetary central government","General Data Dissemination System (GDDS)","Core Welfare Indicator Questionnaire Survey (CWIQ), 2012","","","","2008","2001","GN","GN","Guinea","Guinea"
GNB,"Republic of Guinea-Bissau","Low income","Sub-Saharan Africa","IDA","HIPC","CFA franc","2009","Multiple Indicator Cluster Survey (MICS), 2014","In 2010, national accounts data for 2003-09 were revised. The new data had broader coverage of all sectors of the economy, and GDP in current prices averaged 89 percent higher than previous estimates.","2005","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","Estimate","General trade system","","General Data Dissemination System (GDDS)","Core Welfare Indicator Questionnaire Survey (CWIQ), 2010","","","","2005","2000","GW","GW","Guinea-Bissau","Guinea-Bissau"
GUY,"Co-operative Republic of Guyana","Lower middle income","Latin America & Caribbean","IDA","HIPC","Guyana dollar","2012","Multiple Indicator Cluster Survey (MICS), 2014","In 2010, the Bureau of Statistics introduced a new series of GDP rebased to year 2006. Current price GDP averaged 63 percent higher than previous estimates.","2006","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","","General Data Dissemination System (GDDS)","Integrated household survey (IHS), 1998","","","","2013","2010","GY","GY","Guyana","Guyana"
HTI,"Republic of Haiti","Low income","Latin America & Caribbean","IDA","HIPC","Haitian gourde","2003","HIV/Maternal and Child Health (HIV/MCH) Service Provision Assessments (SPA), 2013","Fiscal year end: September 30; reporting period for national accounts data: FY. In 2010, the government revised national accounts data following changes in the methodology. Current price series since 1991 and constant price series since 1996 were revised.","1986/87","","Country uses the 1968 System of National Accounts methodology.","Value added at basic prices (VAB)","1991","2011","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","","General Data Dissemination System (GDDS)","Integrated household survey (IHS), 2012","","2008/ 2009","","1997","2000","HT","HT","Haiti","Haiti"
HND,"Republic of Honduras","Lower middle income","Latin America & Caribbean","IDA","HIPC","Honduran lempira","2013","Demographic and Health Survey (DHS), 2011/12","","2000","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","1988–89","2011","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Consolidated central government","General Data Dissemination System (GDDS)","Integrated household survey (IHS), 2013","","2013","","2012","2003","HN","HN","Honduras","Honduras"
HKG,"Hong Kong Special Administrative Region of the People's Republic of China","High income: nonOECD","East Asia & Pacific","","","Hong Kong dollar","2011","","On 1 July 1997 China resumed its exercise of sovereignty over Hong Kong. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China. Agriculture value added includes mining and quarrying.","Original chained constant price data are rescaled.","2013","Country uses the 2008 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","","Yes","","2011","2012","","HK","HK","Hong Kong SAR, China","Hong Kong SAR, China"
HUN,"Hungary","High income: OECD","Europe & Central Asia","","","Hungarian forint","2011","World Health Survey (WHS), 2003","April 2012 database update: Based on data from the Organisation for Economic Co-operation and Development, national accounts data were revised for 1991 onward.","Original chained constant price data are rescaled.","2005","Country uses the 2008 System of National Accounts methodology.","Value added at basic prices (VAB)","","Rolling","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","Integrated household survey (IHS), 2012","Yes","2010","2010","2013","2007","HU","HU","Hungary","Hungary"
ISL,"Republic of Iceland","High income: OECD","Europe & Central Asia","","","Iceland krona","2011","","","Original chained constant price data are rescaled.","2005","Country uses the 2008 System of National Accounts methodology.","Value added at basic prices (VAB)","","Rolling","IMF Balance of Payments Manual, 6th edition.","","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","Integrated household survey (IHS), 2010","Yes","2010","2005","2013","2005","IS","IS","Iceland","Iceland"
IND,"Republic of India","Lower middle income","South Asia","IBRD","","Indian rupee","2011","Demographic and Health Survey (DHS), 2005/06","Fiscal year end: March 31; reporting period for national accounts data: FY. Based on official government statistics; the new base year is 2011/12. India reports using SNA 2008.","2011/12","","Country uses the 2008 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","Integrated household survey (IHS), 2011/12","","2011","2010","2013","2010","IN","IN","India","India"
IDN,"Republic of Indonesia","Lower middle income","East Asia & Pacific","IBRD","","Indonesian rupiah","2010","Demographic and Health Survey (DHS), 2012","Fiscal year end: March 31; reporting period for national accounts data: CY. Data for Indonesia include Timor-Leste through 1999 unless otherwise noted. New base year is 2010.","2010","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Budgetary central government","Special Data Dissemination Standard (SDDS)","Integrated household survey (IHS), 2013","","2013","2011","2013","2000","ID","ID","Indonesia","Indonesia"
IRN,"Islamic Republic of Iran","Upper middle income","Middle East & North Africa","IBRD","","Iranian rial","2011","Iran's Multiple Indicator Demographic and Health Survey (IrMIDHS), 2010","Fiscal year end: March 20; reporting period for national accounts data: FY.","1997/98","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","1980–2002","2011","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Consolidated central government","General Data Dissemination System (GDDS)","Expenditure survey/budget survey (ES/BS), 2005","Yes","2013","2010","2011","2004","IR","IR","Iran, Islamic Rep.","Iran"
IRQ,"Republic of Iraq","Upper middle income","Middle East & North Africa","IBRD","","Iraqi dinar","1997","Multiple Indicator Cluster Survey (MICS), 2011","National accounts have been revised from 2000 onward based on official government data; the new base year is 1988. The new series raises GDP significantly from previous estimates.","1988","","Country uses the 1968 System of National Accounts methodology.","Value added at producer prices (VAP)","1997, 2004","2011","IMF Balance of Payments Manual, 6th edition.","","","","General Data Dissemination System (GDDS)","Integrated household survey (IHS), 2012","","2011/2012","2011","","2000","IQ","IQ","Iraq","Iraq"
IRL,"Ireland","High income: OECD","Europe & Central Asia","","Euro area","Euro","2011","","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 0.787564 Irish pound. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.","Original chained constant price data are rescaled.","2005","Country uses the 2008 System of National Accounts methodology.","Value added at basic prices (VAB)","","Rolling","IMF Balance of Payments Manual, 6th edition.","","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","Integrated household survey (IHS), 2010","Yes","2010","2010","2013","1979","IE","IE","Ireland","Ireland"
IMY,"Isle of Man","High income: nonOECD","Europe & Central Asia","","","Pound sterling","2011","","","2003","","Country uses the 1968 System of National Accounts methodology.","","","","","","","","","","Yes","","","","","IM","IM","Isle of Man","Isle of Man"
ISR,"State of Israel","High income: OECD","Middle East & North Africa","","","Israeli new shekel","2009","","Based on official government statistics for chain linked series; the new reference year is 2010.","Original chained constant price data are rescaled.","2010","Country uses the 2008 System of National Accounts methodology.","Value added at producer prices (VAP)","","2011","IMF Balance of Payments Manual, 6th edition.","","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","Expenditure survey/budget survey (ES/BS), 2010","Yes","","2010","2013","2004","IL","IL","Israel","Israel"
ITA,"Italian Republic","High income: OECD","Europe & Central Asia","","Euro area","Euro","2012","","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 1936.27 Italian lira. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.","Original chained constant price data are rescaled.","2005","Country uses the 2008 System of National Accounts methodology.","Value added at basic prices (VAB)","","Rolling","IMF Balance of Payments Manual, 6th edition.","","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","Income survey (IS), 2010","Yes","2010","2010","2013","2000","IT","IT","Italy","Italy"
JAM,"Jamaica","Upper middle income","Latin America & Caribbean","IBRD","","Jamaican dollar","2011","Multiple Indicator Cluster Survey (MICS), 2011","April 2013 database update: Based on official government statistics, national accounts data were revised for 2002 onward; the base year changed to 2007.","2007","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Consolidated central government","General Data Dissemination System (GDDS)","Living Standards Measurement Study Survey (LSMS), 2010","","2007","","2013","1993","JM","JM","Jamaica","Jamaica"
JPN,"Japan","High income: OECD","East Asia & Pacific","","","Japanese yen","2010","","Fiscal year end: March 31; reporting period for national accounts data: CY.","Original chained constant price data are rescaled.","2005","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","Integrated household survey (IHS), 2008","Yes","2010","2010","2013","2001","JP","JP","Japan","Japan"
JOR,"Hashemite Kingdom of Jordan","Upper middle income","Middle East & North Africa","IBRD","","Jordanian dinar","2004","Demographic and Health Survey (DHS), 2012","","1994","","Country uses the 1968 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","","Special Data Dissemination Standard (SDDS)","Expenditure survey/budget survey (ES/BS), 2010","","2007","2011","2013","2005","JO","JO","Jordan","Jordan"
KAZ,"Republic of Kazakhstan","Upper middle income","Europe & Central Asia","IBRD","","Kazakh tenge","2009","Multiple Indicator Cluster Survey (MICS), 2010/11","The new reference year for chain linked series is 2005.","Original chained constant price data are rescaled.","2005","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","1987–95","2011","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","Expenditure survey/budget survey (ES/BS), 2013","Yes","","","2013","2010","KZ","KZ","Kazakhstan","Kazakhstan"
KEN,"Republic of Kenya","Lower middle income","Sub-Saharan Africa","IDA","","Kenyan shilling","2009","Demographic and Health Survey (DHS), 2014","Fiscal year end: June 30; reporting period for national accounts data: CY. Based on official government statistics; the new base year is 2009.","2009","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Budgetary central government","General Data Dissemination System (GDDS)","Integrated household survey (IHS), 2005/06","","2009. Population and Housing Census.","2011","2010","2003","KE","KE","Kenya","Kenya"
KIR,"Republic of Kiribati","Lower middle income","East Asia & Pacific","IDA","","Australian dollar","2010","Kiribati Demographic and Health Survey (KDHS), 2009","Based on IMF and World Bank data, GDP in current and constant prices have been revised from 2000 onward. Value added components are calculated using shares from the Asian Development Bank.","2006","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011 (household consumption only).","IMF Balance of Payments Manual, 6th edition.","","General trade system","Budgetary central government","General Data Dissemination System (GDDS)","","","","","2012","","KI","KI","Kiribati","Kiribati"
PRK,"Democratic People's Republic of Korea","Low income","East Asia & Pacific","","","Democratic People's Republic of Korean won","2008","Multiple Indicator Cluster Survey (MICS), 2009","","","","Country uses the 1968 System of National Accounts methodology.","","","","IMF Balance of Payments Manual, 6th edition.","","","","","","","","","","2005","KP","KP","Korea, Dem. Rep.","Dem. People's Rep. Korea"
KOR,"Republic of Korea","High income: OECD","East Asia & Pacific","IBRD","","Korean won","2010","","The new base year is 2010. GDP data are available from 1970 onward while components are revised from 2000 onward only. Historical data in constant prices are linked to preserve growth rates.","2010","","Country uses the 2008 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","Expenditure survey/budget survey (ES/BS), 1998","Yes","2010","2009","2013","2002","KR","KR","Korea, Rep.","Korea"
KSV,"Republic of Kosovo","Lower middle income","Europe & Central Asia","IDA","","Euro","2011","Multiple Indicator Cluster Survey (MICS), 2013/14","Kosovo became a World Bank member on June 29, 2009. Since 1999, Kosovo has been a territory under international administration pursuant to UN Security Council Resolution 1244 (1999).","2008","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","","","Actual","","","General Data Dissemination System (GDDS)","Integrated household survey (IHS), 2011","","","","","","","XK","Kosovo","Kosovo"
KWT,"State of Kuwait","High income: nonOECD","Middle East & North Africa","","","Kuwaiti dinar","2011","Family Health Survey (FHS), 1996","Fiscal year end: June 30; reporting period for national accounts data: CY. Based on official government statistics; the new base year is 2010.","2010","","Country uses the 1968 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","","Special trade system","Budgetary central government","General Data Dissemination System (GDDS)","","Yes","","2011","2013","2002","KW","KW","Kuwait","Kuwait"
KGZ,"Kyrgyz Republic","Lower middle income","Europe & Central Asia","IDA","HIPC","Kyrgyz som","2009","Multiple Indicator Cluster Survey (MICS), 2014","","Original chained constant price data are rescaled.","1995","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","1990–95","2011","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Budgetary central government","Special Data Dissemination Standard (SDDS)","Expenditure survey/budget survey (ES/BS), 2013","Yes","2014","2010","2013","2006","KG","KG","Kyrgyz Republic","Kyrgyz Republic"
LAO,"Lao People's Democratic Republic","Lower middle income","East Asia & Pacific","IDA","","Lao kip","2005","Multiple Indicator Cluster Survey (MICS), 2011/12","","2002","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Budgetary central government","","Expenditure survey/budget survey (ES/BS), 2012","","2010/11","","","2005","LA","LA","Lao PDR","Lao PDR"
LVA,"Republic of Latvia","High income: nonOECD","Europe & Central Asia","","Euro area","Euro","2011","World Health Survey (WHS), 2003","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2014: 1 euro = 0.702804 Latvian lats. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.","2010","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","1987–95","Rolling","IMF Balance of Payments Manual, 6th edition.","","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","Integrated household survey (IHS), 2012","Yes","2010","2011","2013","2002","LV","LV","Latvia","Latvia"
LBN,"Lebanese Republic","Upper middle income","Middle East & North Africa","IBRD","","Lebanese pound","1943","Family Health Survey (FHS), 2004","","1997","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Budgetary central government","General Data Dissemination System (GDDS)","","Yes","2011","2007","2013","2005","LB","LB","Lebanon","Lebanon"
LSO,"Kingdom of Lesotho","Lower middle income","Sub-Saharan Africa","IDA","","Lesotho loti","2006","Demographic and Health Survey (DHS), 2014","Fiscal year end: March 31; reporting period for national accounts data: CY.","2004","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Consolidated central government","General Data Dissemination System (GDDS)","Expenditure survey/budget survey (ES/BS), 2010","","2010","","2009","2000","LS","LS","Lesotho","Lesotho"
LBR,"Republic of Liberia","Low income","Sub-Saharan Africa","IDA","HIPC","U.S. dollar","2008","Demographic and Health Survey (DHS), 2013","National accounts local currency data have been revised to be reported in U.S. dollars.","2000","","Country uses the 1968 System of National Accounts methodology.","Value added at producer prices (VAP)","","2011","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Budgetary central government","General Data Dissemination System (GDDS)","Core Welfare Indicator Questionnaire Survey (CWIQ), 2007","","2008. Population and Housing Census.","","","2000","LR","LR","Liberia","Liberia"
LBY,"Socialist People's Libyan Arab Jamahiriya","Upper middle income","Middle East & North Africa","IBRD","","Libyan dinar","2006","Family Health Survey (FHS), 2007","National accounts data are revised from 2010 to 2013 based on IMF and World Bank staff estimates.","2003","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","1986","","IMF Balance of Payments Manual, 6th edition.","","General trade system","","General Data Dissemination System (GDDS)","","","2013/2014","","2010","2000","LY","LY","Libya","Libya"
LIE,"Principality of Liechtenstein","High income: nonOECD","Europe & Central Asia","","","Swiss franc","2010","","","1990","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","","","","Special trade system","","","","Yes","","","","","LI","LI","Liechtenstein","Liechtenstein"
LTU,"Republic of Lithuania","High income: nonOECD","Europe & Central Asia","","Euro area","Euro","2011","","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2015: 1 euro = 3.45280 Lithuanian litas. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.","2010","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","1990–95","Rolling","IMF Balance of Payments Manual, 6th edition.","","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","Expenditure survey/budget survey (ES/BS), 2012","Yes","2010","2011","2013","2007","LT","LT","Lithuania","Lithuania"
